CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
greater_200,6,prior_payments_delayed,vacation,2595,greater_1000,1_to_4,2,male,none,4,car_other,32,none,own,2,management_self-employed,1,none,yes,No Risk
no_checking,32,prior_payments_delayed,repairs,10617,100_to_500,less_1,4,male,none,5,car_other,35,none,own,1,management_self-employed,1,none,yes,No Risk
0_to_200,28,outstanding_credit,education,5590,100_to_500,4_to_7,2,male,none,2,savings_insurance,20,none,own,1,skilled,1,yes,yes,Risk
no_checking,48,outstanding_credit,radio_tv,11561,greater_1000,greater_7,5,male,co-applicant,5,unknown,50,none,free,2,skilled,2,yes,yes,Risk
no_checking,49,prior_payments_delayed,furniture,3802,500_to_1000,4_to_7,4,male,none,4,savings_insurance,28,none,free,2,skilled,1,none,yes,Risk
less_0,24,credits_paid_to_date,furniture,2202,100_to_500,unemployed,2,male,none,1,car_other,25,stores,rent,1,skilled,1,none,yes,Risk
no_checking,18,all_credits_paid_back,vacation,4235,less_100,unemployed,2,male,none,2,real_estate,20,none,rent,1,management_self-employed,1,none,yes,Risk
no_checking,36,prior_payments_delayed,appliances,8170,100_to_500,1_to_4,3,male,none,4,savings_insurance,38,none,own,1,management_self-employed,1,none,yes,No Risk
no_checking,52,outstanding_credit,repairs,7873,greater_1000,greater_7,5,male,co-applicant,5,car_other,42,none,free,2,skilled,1,yes,yes,Risk
less_0,11,prior_payments_delayed,furniture,1642,less_100,1_to_4,3,male,none,2,real_estate,23,none,own,1,skilled,1,none,yes,No Risk
less_0,9,prior_payments_delayed,appliances,350,500_to_1000,less_1,1,male,none,2,savings_insurance,19,stores,rent,1,skilled,1,none,yes,No Risk
0_to_200,20,prior_payments_delayed,radio_tv,3249,less_100,less_1,2,female,none,2,car_other,39,bank,rent,1,unemployed,1,none,yes,No Risk
0_to_200,5,all_credits_paid_back,appliances,1286,100_to_500,1_to_4,3,female,none,1,real_estate,24,none,own,1,skilled,2,yes,yes,No Risk
no_checking,41,prior_payments_delayed,appliances,9735,500_to_1000,greater_7,4,female,none,4,car_other,58,none,own,2,skilled,1,none,yes,Risk
less_0,19,prior_payments_delayed,radio_tv,1460,100_to_500,4_to_7,3,male,none,3,car_other,33,none,own,1,skilled,1,yes,yes,No Risk
greater_200,27,credits_paid_to_date,furniture,10007,less_100,1_to_4,3,female,none,4,car_other,43,none,own,1,skilled,1,none,yes,Risk
less_0,31,credits_paid_to_date,car_new,350,500_to_1000,unemployed,2,female,none,2,real_estate,19,bank,rent,1,unemployed,1,none,yes,No Risk
no_checking,31,prior_payments_delayed,furniture,6308,100_to_500,greater_7,4,female,none,3,car_other,48,none,free,2,skilled,2,yes,yes,Risk
no_checking,40,prior_payments_delayed,appliances,2899,500_to_1000,greater_7,4,male,guarantor,4,savings_insurance,46,none,free,1,unskilled,1,yes,yes,Risk
less_0,40,outstanding_credit,furniture,6899,100_to_500,greater_7,3,male,none,3,unknown,39,stores,own,1,skilled,1,none,yes,Risk
no_checking,29,outstanding_credit,radio_tv,3388,500_to_1000,greater_7,3,male,none,4,savings_insurance,38,none,own,1,skilled,1,yes,yes,Risk
less_0,35,credits_paid_to_date,radio_tv,5402,500_to_1000,4_to_7,4,male,none,3,savings_insurance,35,bank,own,2,unskilled,1,yes,yes,No Risk
no_checking,49,outstanding_credit,radio_tv,4298,greater_1000,4_to_7,4,male,none,5,savings_insurance,31,stores,own,1,unskilled,2,yes,yes,No Risk
0_to_200,18,credits_paid_to_date,vacation,2976,less_100,4_to_7,2,male,none,3,car_other,47,none,own,1,skilled,1,yes,yes,Risk
less_0,31,prior_payments_delayed,retraining,350,100_to_500,less_1,3,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
no_checking,39,outstanding_credit,appliances,11177,unknown,greater_7,5,male,co-applicant,4,unknown,61,none,free,3,management_self-employed,2,yes,yes,No Risk
no_checking,11,all_credits_paid_back,car_new,4169,less_100,less_1,2,female,none,3,real_estate,31,none,rent,1,management_self-employed,1,none,yes,No Risk
no_checking,50,prior_payments_delayed,repairs,7965,greater_1000,4_to_7,5,male,none,3,car_other,41,stores,own,2,unskilled,1,yes,yes,No Risk
0_to_200,22,prior_payments_delayed,car_new,3409,greater_1000,1_to_4,2,female,none,2,real_estate,28,stores,own,2,skilled,1,none,yes,Risk
0_to_200,29,credits_paid_to_date,car_used,4344,greater_1000,4_to_7,3,female,none,1,savings_insurance,37,stores,own,1,unskilled,1,none,yes,No Risk
0_to_200,19,all_credits_paid_back,furniture,648,less_100,1_to_4,3,female,none,2,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
no_checking,37,outstanding_credit,appliances,9238,500_to_1000,4_to_7,3,male,none,2,car_other,42,stores,own,2,unskilled,1,yes,yes,No Risk
no_checking,37,outstanding_credit,appliances,9461,greater_1000,greater_7,5,male,co-applicant,3,unknown,50,none,free,3,skilled,2,yes,yes,Risk
0_to_200,42,prior_payments_delayed,appliances,3486,greater_1000,4_to_7,3,male,none,4,real_estate,33,none,own,2,skilled,1,yes,no,Risk
no_checking,19,credits_paid_to_date,furniture,3025,100_to_500,4_to_7,3,male,co-applicant,4,savings_insurance,61,bank,own,1,unemployed,1,yes,yes,No Risk
no_checking,45,prior_payments_delayed,radio_tv,11250,500_to_1000,1_to_4,4,male,co-applicant,5,savings_insurance,37,none,own,2,management_self-employed,2,yes,yes,No Risk
less_0,24,credits_paid_to_date,car_used,350,100_to_500,1_to_4,1,male,none,1,savings_insurance,19,bank,rent,1,unemployed,1,none,yes,No Risk
no_checking,39,outstanding_credit,repairs,7279,500_to_1000,greater_7,5,male,co-applicant,4,car_other,49,none,own,2,management_self-employed,1,yes,yes,Risk
no_checking,28,credits_paid_to_date,furniture,7060,greater_1000,1_to_4,4,male,none,4,savings_insurance,30,none,own,2,management_self-employed,1,none,yes,Risk
0_to_200,32,all_credits_paid_back,retraining,4394,less_100,less_1,3,female,none,3,car_other,28,none,own,1,skilled,1,none,yes,No Risk
greater_200,24,credits_paid_to_date,radio_tv,1896,less_100,4_to_7,3,male,none,3,savings_insurance,35,none,own,2,skilled,1,none,yes,Risk
no_checking,35,prior_payments_delayed,furniture,9228,unknown,4_to_7,4,male,none,5,unknown,45,none,own,2,skilled,2,yes,yes,No Risk
0_to_200,42,prior_payments_delayed,appliances,2867,unknown,1_to_4,2,male,none,2,savings_insurance,26,stores,own,1,unskilled,1,none,yes,No Risk
0_to_200,36,outstanding_credit,car_used,5961,greater_1000,1_to_4,3,male,none,4,unknown,35,none,own,2,skilled,1,yes,yes,No Risk
no_checking,55,outstanding_credit,appliances,5125,greater_1000,4_to_7,3,female,co-applicant,3,car_other,28,none,free,1,skilled,1,yes,yes,Risk
no_checking,33,prior_payments_delayed,car_used,9272,greater_1000,4_to_7,4,male,none,3,car_other,42,none,own,2,management_self-employed,1,none,yes,No Risk
less_0,5,prior_payments_delayed,vacation,8138,less_100,1_to_4,3,female,none,2,car_other,22,none,own,2,skilled,1,none,yes,No Risk
0_to_200,27,outstanding_credit,radio_tv,4188,100_to_500,1_to_4,2,female,none,1,savings_insurance,37,stores,own,1,skilled,1,none,yes,Risk
no_checking,31,prior_payments_delayed,business,6165,100_to_500,4_to_7,3,male,none,4,unknown,54,none,own,1,skilled,1,yes,yes,Risk
0_to_200,36,credits_paid_to_date,furniture,3827,greater_1000,4_to_7,3,male,none,1,savings_insurance,33,none,own,1,skilled,1,yes,yes,Risk
no_checking,10,no_credits,appliances,3509,500_to_1000,less_1,1,male,none,2,savings_insurance,34,none,own,1,skilled,1,none,yes,No Risk
0_to_200,41,credits_paid_to_date,radio_tv,7086,100_to_500,1_to_4,2,female,none,2,savings_insurance,33,stores,own,2,unskilled,1,none,yes,No Risk
0_to_200,44,prior_payments_delayed,appliances,3723,100_to_500,1_to_4,3,female,none,1,savings_insurance,29,bank,own,1,unemployed,1,none,yes,No Risk
0_to_200,19,prior_payments_delayed,radio_tv,6119,less_100,4_to_7,3,male,none,2,car_other,41,none,own,2,skilled,1,none,yes,Risk
no_checking,26,credits_paid_to_date,furniture,9219,100_to_500,greater_7,4,male,none,3,savings_insurance,40,none,own,1,skilled,1,yes,yes,No Risk
no_checking,40,prior_payments_delayed,radio_tv,8352,100_to_500,greater_7,5,male,none,3,savings_insurance,44,none,free,2,skilled,1,none,yes,No Risk
no_checking,58,prior_payments_delayed,appliances,14755,500_to_1000,1_to_4,5,female,co-applicant,4,car_other,36,none,free,2,management_self-employed,2,yes,yes,Risk
no_checking,39,outstanding_credit,repairs,8555,unknown,greater_7,5,female,none,5,unknown,53,none,own,2,skilled,2,yes,yes,Risk
less_0,28,no_credits,car_used,3903,less_100,1_to_4,2,female,none,1,savings_insurance,37,stores,own,1,unskilled,1,none,yes,No Risk
no_checking,33,prior_payments_delayed,car_used,8509,unknown,1_to_4,4,male,none,5,savings_insurance,42,none,own,2,skilled,1,none,no,Risk
less_0,28,no_credits,vacation,350,100_to_500,less_1,2,female,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
less_0,15,all_credits_paid_back,vacation,350,less_100,unemployed,2,male,none,2,real_estate,22,bank,own,1,unskilled,1,none,yes,No Risk
no_checking,14,credits_paid_to_date,furniture,2272,greater_1000,1_to_4,2,male,none,2,real_estate,42,none,own,1,skilled,1,none,yes,No Risk
no_checking,37,outstanding_credit,radio_tv,8383,unknown,4_to_7,4,male,none,4,unknown,51,none,free,2,skilled,2,yes,yes,No Risk
0_to_200,23,credits_paid_to_date,car_used,1680,less_100,less_1,2,female,none,2,real_estate,19,none,own,1,skilled,1,none,yes,Risk
no_checking,36,prior_payments_delayed,radio_tv,9727,500_to_1000,4_to_7,4,male,none,4,savings_insurance,40,none,own,2,skilled,1,none,yes,No Risk
no_checking,31,outstanding_credit,radio_tv,5559,500_to_1000,1_to_4,3,male,none,3,unknown,32,bank,own,2,unskilled,1,yes,yes,Risk
no_checking,46,prior_payments_delayed,other,9489,500_to_1000,greater_7,5,male,none,3,unknown,53,none,free,2,skilled,1,yes,yes,Risk
0_to_200,14,credits_paid_to_date,car_new,7879,100_to_500,1_to_4,2,male,none,3,car_other,24,none,own,2,skilled,1,none,yes,No Risk
less_0,27,prior_payments_delayed,furniture,7393,less_100,1_to_4,3,male,none,3,savings_insurance,26,none,free,1,skilled,1,none,yes,Risk
less_0,39,credits_paid_to_date,furniture,350,less_100,4_to_7,2,male,co-applicant,3,real_estate,26,bank,rent,1,unemployed,1,yes,yes,Risk
no_checking,39,outstanding_credit,vacation,12234,500_to_1000,greater_7,5,male,co-applicant,5,car_other,46,none,free,2,management_self-employed,1,yes,yes,Risk
no_checking,24,credits_paid_to_date,car_new,1348,100_to_500,less_1,2,male,none,2,car_other,37,none,own,1,skilled,1,yes,yes,No Risk
no_checking,46,prior_payments_delayed,furniture,11610,500_to_1000,greater_7,4,male,guarantor,4,car_other,54,none,free,2,skilled,1,yes,yes,Risk
less_0,23,prior_payments_delayed,repairs,3739,less_100,4_to_7,4,male,co-applicant,2,savings_insurance,22,none,own,1,skilled,1,none,yes,No Risk
0_to_200,19,credits_paid_to_date,repairs,3479,less_100,less_1,3,female,none,2,savings_insurance,30,none,own,1,skilled,1,none,yes,No Risk
less_0,24,prior_payments_delayed,furniture,3641,less_100,1_to_4,3,male,none,3,car_other,33,none,own,1,skilled,1,none,yes,Risk
less_0,45,outstanding_credit,other,8363,500_to_1000,1_to_4,3,male,none,1,unknown,35,stores,own,2,skilled,1,none,yes,Risk
no_checking,41,outstanding_credit,repairs,7176,unknown,1_to_4,4,male,guarantor,5,unknown,52,stores,own,2,unskilled,1,yes,yes,No Risk
no_checking,52,outstanding_credit,repairs,9227,500_to_1000,greater_7,5,male,guarantor,5,car_other,63,none,free,2,skilled,1,yes,yes,Risk
greater_200,13,prior_payments_delayed,retraining,1400,100_to_500,greater_7,4,female,none,3,car_other,36,none,own,1,skilled,1,yes,yes,Risk
less_0,18,prior_payments_delayed,car_new,5126,less_100,4_to_7,2,male,none,3,car_other,49,bank,own,1,unskilled,1,none,yes,Risk
no_checking,10,prior_payments_delayed,furniture,7505,100_to_500,greater_7,3,male,none,3,savings_insurance,34,none,own,2,management_self-employed,1,none,yes,Risk
no_checking,31,prior_payments_delayed,appliances,9143,500_to_1000,greater_7,4,male,guarantor,4,car_other,70,none,free,2,skilled,1,yes,yes,Risk
no_checking,36,prior_payments_delayed,appliances,5223,unknown,1_to_4,3,male,none,3,car_other,28,none,rent,1,skilled,1,none,yes,No Risk
no_checking,32,prior_payments_delayed,business,8491,100_to_500,4_to_7,3,male,none,4,car_other,42,none,own,1,management_self-employed,1,none,yes,No Risk
less_0,16,prior_payments_delayed,car_new,350,100_to_500,1_to_4,2,male,none,1,real_estate,24,bank,rent,1,unemployed,1,none,yes,No Risk
no_checking,54,outstanding_credit,repairs,9263,greater_1000,greater_7,5,male,co-applicant,5,unknown,60,none,free,3,skilled,2,yes,yes,Risk
less_0,19,credits_paid_to_date,car_used,6493,less_100,1_to_4,3,male,none,3,car_other,19,none,own,1,skilled,1,none,yes,No Risk
0_to_200,45,prior_payments_delayed,repairs,8423,100_to_500,less_1,3,male,none,2,unknown,33,none,own,2,skilled,1,none,yes,No Risk
no_checking,46,credits_paid_to_date,appliances,11327,100_to_500,4_to_7,3,female,none,3,unknown,39,none,own,2,skilled,2,yes,yes,Risk
0_to_200,27,outstanding_credit,furniture,6774,greater_1000,greater_7,4,male,none,2,car_other,43,none,own,2,skilled,2,none,yes,No Risk
no_checking,46,prior_payments_delayed,appliances,12101,500_to_1000,1_to_4,4,male,none,4,savings_insurance,27,stores,own,1,unskilled,1,none,yes,Risk
less_0,26,prior_payments_delayed,radio_tv,3770,less_100,1_to_4,2,male,none,3,savings_insurance,24,bank,rent,1,unskilled,1,none,yes,No Risk
no_checking,32,prior_payments_delayed,business,3621,500_to_1000,4_to_7,2,male,none,4,savings_insurance,41,none,own,1,skilled,1,yes,yes,No Risk
less_0,19,prior_payments_delayed,radio_tv,1265,100_to_500,1_to_4,3,male,none,2,savings_insurance,25,none,own,1,skilled,1,none,yes,No Risk
no_checking,15,credits_paid_to_date,furniture,5537,less_100,1_to_4,3,male,none,3,savings_insurance,26,none,own,1,management_self-employed,1,none,yes,No Risk
less_0,10,prior_payments_delayed,car_new,518,less_100,less_1,2,female,none,2,real_estate,25,none,own,1,skilled,1,none,yes,No Risk
no_checking,31,prior_payments_delayed,radio_tv,10169,100_to_500,1_to_4,4,male,none,5,car_other,44,none,own,2,management_self-employed,1,none,yes,Risk
no_checking,35,all_credits_paid_back,radio_tv,9842,less_100,1_to_4,3,male,none,4,savings_insurance,34,none,own,1,management_self-employed,1,none,yes,No Risk
less_0,22,prior_payments_delayed,car_new,525,less_100,4_to_7,1,male,none,1,real_estate,43,stores,own,1,skilled,2,yes,yes,No Risk
less_0,11,prior_payments_delayed,car_used,3901,less_100,4_to_7,3,male,none,2,savings_insurance,46,bank,own,2,unskilled,1,yes,yes,No Risk
no_checking,10,credits_paid_to_date,car_used,4649,greater_1000,1_to_4,3,male,none,3,real_estate,30,none,own,3,management_self-employed,2,yes,yes,No Risk
no_checking,41,prior_payments_delayed,business,8824,100_to_500,greater_7,4,male,none,3,unknown,59,none,free,2,skilled,1,yes,yes,Risk
no_checking,31,outstanding_credit,appliances,3165,500_to_1000,greater_7,4,male,none,3,unknown,42,none,own,1,skilled,1,none,yes,Risk
0_to_200,40,credits_paid_to_date,appliances,4072,100_to_500,1_to_4,2,female,none,3,car_other,41,bank,own,1,unemployed,1,none,yes,Risk
no_checking,20,credits_paid_to_date,vacation,6857,less_100,4_to_7,3,male,none,2,car_other,45,none,own,2,skilled,1,none,yes,Risk
less_0,16,prior_payments_delayed,furniture,1107,less_100,1_to_4,2,male,none,2,savings_insurance,27,none,own,1,skilled,1,none,yes,No Risk
0_to_200,5,prior_payments_delayed,retraining,422,100_to_500,1_to_4,2,female,none,1,savings_insurance,20,none,own,1,skilled,1,none,yes,Risk
no_checking,35,prior_payments_delayed,business,6924,500_to_1000,less_1,4,male,co-applicant,3,car_other,48,none,own,1,skilled,1,none,yes,Risk
0_to_200,22,prior_payments_delayed,radio_tv,350,100_to_500,1_to_4,2,female,none,1,savings_insurance,30,bank,rent,1,unemployed,1,none,yes,Risk
0_to_200,23,prior_payments_delayed,radio_tv,4734,greater_1000,less_1,2,female,none,3,car_other,33,stores,own,1,skilled,1,none,yes,Risk
0_to_200,18,no_credits,vacation,663,less_100,unemployed,2,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
less_0,11,prior_payments_delayed,car_new,3204,less_100,1_to_4,3,male,none,1,savings_insurance,31,none,own,1,skilled,1,none,yes,No Risk
less_0,24,prior_payments_delayed,furniture,350,less_100,4_to_7,3,female,none,1,savings_insurance,31,bank,rent,1,unemployed,1,yes,yes,Risk
no_checking,45,outstanding_credit,repairs,8373,greater_1000,1_to_4,3,male,none,4,car_other,42,none,own,1,management_self-employed,1,yes,yes,Risk
0_to_200,16,prior_payments_delayed,business,7300,500_to_1000,less_1,3,male,none,4,car_other,25,none,rent,1,management_self-employed,1,none,yes,No Risk
no_checking,54,outstanding_credit,education,8608,greater_1000,4_to_7,4,male,co-applicant,4,unknown,45,none,free,2,skilled,1,yes,yes,Risk
no_checking,23,all_credits_paid_back,furniture,940,less_100,1_to_4,2,female,none,3,savings_insurance,36,none,rent,1,skilled,1,none,yes,Risk
0_to_200,19,credits_paid_to_date,car_new,4209,100_to_500,4_to_7,3,female,co-applicant,3,car_other,41,bank,own,1,unemployed,1,none,yes,Risk
greater_200,23,credits_paid_to_date,retraining,7751,500_to_1000,greater_7,3,male,none,4,car_other,25,none,own,1,management_self-employed,1,none,yes,No Risk
0_to_200,20,credits_paid_to_date,vacation,3817,500_to_1000,1_to_4,3,male,none,3,real_estate,33,none,own,1,management_self-employed,1,none,yes,Risk
no_checking,23,credits_paid_to_date,car_new,5649,500_to_1000,less_1,3,male,guarantor,3,savings_insurance,40,none,own,1,skilled,1,yes,yes,No Risk
no_checking,37,prior_payments_delayed,appliances,9458,100_to_500,4_to_7,4,female,none,4,car_other,55,none,own,2,skilled,1,yes,yes,Risk
no_checking,41,outstanding_credit,furniture,6413,500_to_1000,4_to_7,3,female,none,2,car_other,52,bank,rent,1,unemployed,1,yes,yes,Risk
less_0,24,credits_paid_to_date,vacation,1983,less_100,less_1,3,female,none,1,car_other,33,none,rent,1,skilled,1,none,yes,Risk
no_checking,28,outstanding_credit,appliances,4212,500_to_1000,1_to_4,3,female,none,3,car_other,37,none,own,2,skilled,1,yes,yes,Risk
0_to_200,20,credits_paid_to_date,furniture,4474,less_100,1_to_4,3,male,co-applicant,3,real_estate,40,none,own,2,skilled,1,yes,yes,Risk
no_checking,10,credits_paid_to_date,car_used,5495,less_100,4_to_7,2,male,none,3,real_estate,31,none,own,2,management_self-employed,1,none,yes,Risk
0_to_200,29,credits_paid_to_date,repairs,7114,less_100,4_to_7,2,female,none,3,car_other,44,none,free,2,skilled,1,none,yes,No Risk
no_checking,37,prior_payments_delayed,car_used,2325,unknown,greater_7,2,female,none,4,real_estate,44,none,own,2,skilled,1,none,yes,Risk
no_checking,32,outstanding_credit,furniture,7461,500_to_1000,greater_7,4,male,none,3,unknown,50,none,free,2,skilled,1,yes,yes,Risk
greater_200,41,prior_payments_delayed,radio_tv,8153,100_to_500,greater_7,4,male,none,3,unknown,37,stores,own,2,unskilled,1,yes,yes,Risk
less_0,37,outstanding_credit,appliances,4531,greater_1000,greater_7,3,male,none,4,savings_insurance,31,none,own,2,skilled,1,none,yes,Risk
no_checking,36,outstanding_credit,other,8911,greater_1000,4_to_7,4,male,guarantor,3,unknown,42,none,free,1,skilled,1,yes,yes,Risk
no_checking,33,prior_payments_delayed,radio_tv,6196,100_to_500,greater_7,3,female,none,3,car_other,46,bank,rent,2,unemployed,1,none,yes,No Risk
no_checking,22,credits_paid_to_date,radio_tv,3388,greater_1000,1_to_4,2,male,none,4,savings_insurance,34,none,own,2,skilled,2,none,yes,Risk
less_0,23,credits_paid_to_date,car_new,2485,less_100,less_1,2,male,none,3,savings_insurance,20,none,rent,1,skilled,1,none,yes,No Risk
no_checking,50,outstanding_credit,radio_tv,13679,greater_1000,greater_7,5,female,co-applicant,4,unknown,56,none,free,3,skilled,2,yes,yes,Risk
no_checking,31,outstanding_credit,appliances,6707,500_to_1000,greater_7,4,female,none,2,car_other,50,none,free,2,skilled,1,yes,yes,Risk
less_0,24,credits_paid_to_date,car_used,4942,less_100,less_1,2,male,none,3,car_other,19,none,rent,1,skilled,1,none,yes,Risk
less_0,20,prior_payments_delayed,appliances,7663,less_100,1_to_4,2,female,none,1,unknown,34,stores,rent,1,skilled,1,none,yes,No Risk
no_checking,31,prior_payments_delayed,furniture,8019,100_to_500,1_to_4,3,male,none,2,car_other,38,none,free,2,skilled,1,yes,yes,Risk
0_to_200,45,prior_payments_delayed,furniture,7015,100_to_500,4_to_7,4,male,none,3,unknown,37,none,own,2,skilled,1,none,yes,Risk
0_to_200,5,all_credits_paid_back,car_new,350,less_100,less_1,1,male,none,1,savings_insurance,36,none,own,1,skilled,1,none,yes,No Risk
no_checking,37,credits_paid_to_date,radio_tv,7363,100_to_500,less_1,4,female,none,4,car_other,48,none,own,1,skilled,1,none,yes,Risk
0_to_200,5,prior_payments_delayed,car_new,350,less_100,less_1,1,female,none,3,savings_insurance,41,none,rent,1,skilled,1,none,yes,No Risk
greater_200,44,prior_payments_delayed,radio_tv,4944,500_to_1000,4_to_7,3,female,none,4,unknown,45,stores,free,2,unskilled,2,yes,yes,Risk
less_0,33,credits_paid_to_date,radio_tv,3826,less_100,1_to_4,3,male,none,1,car_other,25,none,own,1,skilled,1,none,yes,No Risk
0_to_200,29,credits_paid_to_date,radio_tv,6816,less_100,1_to_4,2,male,none,3,savings_insurance,36,none,own,2,skilled,2,yes,yes,No Risk
less_0,20,credits_paid_to_date,car_new,350,less_100,4_to_7,3,male,none,2,car_other,29,none,own,2,skilled,1,none,yes,No Risk
0_to_200,41,credits_paid_to_date,appliances,6160,greater_1000,4_to_7,3,female,co-applicant,3,car_other,38,stores,own,2,skilled,2,yes,yes,Risk
greater_200,32,outstanding_credit,radio_tv,3172,500_to_1000,4_to_7,3,male,none,4,car_other,31,none,own,1,skilled,1,none,yes,No Risk
0_to_200,37,credits_paid_to_date,car_used,6148,100_to_500,1_to_4,3,male,none,2,savings_insurance,28,none,own,2,skilled,1,yes,yes,Risk
no_checking,28,credits_paid_to_date,furniture,4524,100_to_500,4_to_7,3,male,none,3,savings_insurance,33,stores,own,1,unskilled,1,none,yes,No Risk
less_0,37,credits_paid_to_date,radio_tv,6158,less_100,1_to_4,3,female,none,2,savings_insurance,25,stores,own,2,skilled,1,none,yes,No Risk
greater_200,44,outstanding_credit,furniture,2636,unknown,4_to_7,4,male,none,4,unknown,40,none,own,1,skilled,1,yes,yes,Risk
less_0,13,all_credits_paid_back,car_used,350,less_100,less_1,2,male,none,1,real_estate,21,bank,rent,1,unskilled,1,none,yes,No Risk
0_to_200,16,credits_paid_to_date,car_new,5895,less_100,1_to_4,2,female,none,2,real_estate,36,none,own,2,skilled,1,none,yes,No Risk
less_0,27,credits_paid_to_date,car_new,1031,less_100,4_to_7,3,male,none,1,savings_insurance,49,bank,own,1,unemployed,1,none,yes,No Risk
0_to_200,11,all_credits_paid_back,car_used,2695,less_100,unemployed,1,female,none,3,car_other,19,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,36,credits_paid_to_date,radio_tv,5199,500_to_1000,4_to_7,4,male,none,4,savings_insurance,29,stores,own,2,unskilled,1,yes,yes,Risk
0_to_200,28,credits_paid_to_date,car_new,5279,500_to_1000,less_1,3,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
no_checking,35,prior_payments_delayed,car_used,8657,100_to_500,4_to_7,4,female,none,3,car_other,45,none,own,1,skilled,1,none,yes,Risk
no_checking,26,outstanding_credit,radio_tv,7105,unknown,greater_7,5,male,none,4,unknown,60,none,free,2,skilled,2,yes,no,Risk
no_checking,40,prior_payments_delayed,furniture,10374,unknown,4_to_7,3,male,co-applicant,3,savings_insurance,39,none,own,2,skilled,1,none,yes,Risk
no_checking,13,credits_paid_to_date,radio_tv,909,greater_1000,less_1,2,male,none,2,real_estate,25,stores,rent,1,unskilled,1,none,yes,No Risk
no_checking,45,outstanding_credit,repairs,9822,500_to_1000,1_to_4,4,male,none,5,savings_insurance,40,none,own,2,management_self-employed,1,yes,yes,Risk
no_checking,37,prior_payments_delayed,education,7468,greater_1000,1_to_4,4,female,none,3,unknown,39,none,own,1,skilled,1,none,yes,No Risk
less_0,33,credits_paid_to_date,appliances,2794,less_100,1_to_4,3,male,none,2,savings_insurance,30,stores,own,1,unskilled,1,none,yes,No Risk
0_to_200,5,all_credits_paid_back,car_new,350,less_100,unemployed,2,male,none,2,savings_insurance,24,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,36,outstanding_credit,business,6686,unknown,greater_7,5,female,none,3,unknown,46,none,free,2,skilled,1,none,yes,Risk
0_to_200,18,credits_paid_to_date,vacation,949,500_to_1000,4_to_7,3,female,none,3,savings_insurance,38,stores,rent,1,unskilled,1,none,yes,Risk
no_checking,37,prior_payments_delayed,car_used,7824,100_to_500,4_to_7,4,male,none,3,car_other,44,none,own,2,management_self-employed,1,yes,yes,No Risk
less_0,10,prior_payments_delayed,car_new,350,less_100,less_1,2,female,none,3,savings_insurance,19,stores,own,1,skilled,1,yes,yes,No Risk
no_checking,46,outstanding_credit,radio_tv,8456,greater_1000,greater_7,5,male,co-applicant,4,unknown,55,stores,own,2,unskilled,2,yes,yes,Risk
no_checking,29,outstanding_credit,repairs,4697,500_to_1000,1_to_4,4,female,none,4,car_other,48,stores,own,2,skilled,1,yes,yes,No Risk
no_checking,39,prior_payments_delayed,car_used,6188,greater_1000,1_to_4,3,male,none,3,car_other,43,none,free,2,skilled,1,yes,yes,No Risk
no_checking,27,credits_paid_to_date,car_used,9590,greater_1000,1_to_4,3,male,none,4,unknown,32,stores,own,2,unskilled,1,yes,yes,Risk
no_checking,33,prior_payments_delayed,business,8682,greater_1000,4_to_7,3,male,none,4,savings_insurance,37,none,own,2,management_self-employed,1,none,yes,Risk
less_0,13,all_credits_paid_back,car_used,3252,less_100,less_1,2,male,none,3,savings_insurance,19,bank,rent,1,unskilled,1,none,yes,Risk
no_checking,36,prior_payments_delayed,radio_tv,9601,100_to_500,1_to_4,4,male,none,3,unknown,40,stores,rent,1,unskilled,1,none,yes,Risk
no_checking,15,outstanding_credit,business,4512,unknown,1_to_4,4,male,none,3,car_other,35,none,rent,1,management_self-employed,1,none,yes,No Risk
less_0,26,credits_paid_to_date,car_new,1471,100_to_500,4_to_7,3,female,none,3,car_other,39,stores,own,2,skilled,2,yes,yes,Risk
no_checking,48,prior_payments_delayed,appliances,6330,unknown,4_to_7,4,male,none,3,savings_insurance,40,stores,rent,2,unskilled,2,none,yes,No Risk
0_to_200,19,prior_payments_delayed,furniture,3169,greater_1000,1_to_4,3,female,none,3,real_estate,42,none,own,2,skilled,1,none,yes,Risk
no_checking,49,prior_payments_delayed,repairs,4331,500_to_1000,greater_7,3,male,none,3,savings_insurance,39,none,own,1,skilled,1,yes,yes,Risk
less_0,27,credits_paid_to_date,furniture,3043,less_100,less_1,2,female,none,1,car_other,35,stores,own,1,skilled,1,none,yes,No Risk
greater_200,26,outstanding_credit,appliances,7359,unknown,1_to_4,3,male,none,4,car_other,27,none,own,2,skilled,1,none,yes,No Risk
